tweet, time
@jemlamble DM us your order number for shipping details.,Thu Oct 12 13:01:08 +0000 2017
@rebecca_swales DM us for your shipping details!,Thu Oct 12 12:56:15 +0000 2017
@makeupcuisine DM us your order number and we'll look into it!,Thu Oct 12 12:35:40 +0000 2017
@sfbetht DM us your order # and we'll look into it!,Thu Oct 12 12:17:02 +0000 2017
@sarahjrowley91 Stay tuned for more details!,Wed Oct 11 23:13:37 +0000 2017
@ilovelamode We'll be shipping to France in 2018. Stay tuned!,Wed Oct 11 22:55:20 +0000 2017
@illstrumental @ferbsnessa All showroom purchases include a Glossier You sample ✨,Wed Oct 11 22:11:53 +0000 2017
@nerdfish DM us your order number for more details on tracking.,Wed Oct 11 21:41:09 +0000 2017
@chelseydrewery DM us your order number and we'll look into it!,Wed Oct 11 21:31:47 +0000 2017
@ele_an0rr DM us your shipping address and we'll look into it.,Wed Oct 11 21:15:58 +0000 2017
Glossier in the U.K 💕🇬🇧 pic via https://t.co/KdQphwYWFq https://t.co/Zugq0dYa5D,Wed Oct 11 12:59:49 +0000 2017
@ilovelamode Yes! Express currently isn't available; and we'll let you know when it is.,Tue Oct 10 21:09:19 +0000 2017
@sammiejoeraja DM us and we can help 👍,Tue Oct 10 21:07:30 +0000 2017
@ilovelamode Standard shipping is 2-5 business days 👍,Tue Oct 10 21:05:22 +0000 2017
@EmmmyLou Express shipping isn't available at this time. DM us with any more questions!,Tue Oct 10 21:04:00 +0000 2017
@EmmmyLou Processing is 1-2 business days; and shipping is 2-5 business days 👍,Tue Oct 10 21:02:17 +0000 2017
@THEWlRE DM us and we can help!,Tue Oct 10 21:01:40 +0000 2017
@allisonsnellis Sorry to hear that! DM us your order number(s) and we can help.,Tue Oct 10 21:00:33 +0000 2017
@cemonaghan We no longer have Terry Headbands; but keep an eye out for new merch in 2018!,Tue Oct 10 20:59:13 +0000 2017
@sakhispeaks @TamiraJarrel We'll keep you posted ✨,Tue Oct 10 20:58:48 +0000 2017
@seafogs Glide Haloscope across your cheekbones; the bridge of your nose; and tap to blend ✨,Tue Oct 10 20:58:26 +0000 2017
https://t.co/lmVrnhQT8V,Tue Oct 10 13:37:02 +0000 2017
@_cherrysparkle  Yes ✨,Tue Oct 10 08:37:21 +0000 2017
@_cherrysparkle Yes! Birthday Balm Dotcom is here to stay✨,Mon Oct 09 20:35:29 +0000 2017
RT @katy_hols: Ok; so I Glossiered hard. There's only so many 'moony-milky-bouncy-cloudy-glowy' words a gal can resist #glossier #glossieruk,Mon Oct 09 20:13:44 +0000 2017
RT @bathroomshelf: @glossier: making Mondays in Britain better since 09.10.17. https://t.co/CTOhNBA458,Mon Oct 09 19:29:03 +0000 2017
RT @eveelizabethc: I slipped and accidentally placed a @glossier order,Mon Oct 09 18:59:55 +0000 2017
@AliceRoseCo DM us and we can help :),Mon Oct 09 17:10:31 +0000 2017
@NYCembit_10 DM us and we can help!,Mon Oct 09 15:50:15 +0000 2017
@paygebaugh Oh no! DM us and we can help :),Mon Oct 09 15:47:49 +0000 2017
RT @CharlotteAdele_: Happy National Ordering @glossier Day 💗 #glossieruk #glossier,Mon Oct 09 15:21:54 +0000 2017
🇬🇧 https://t.co/zK1QuRVntf https://t.co/v1f0Nse73D,Mon Oct 09 14:37:25 +0000 2017
@KalulFiercee Your order won’t be charged duties since the order is being shipped from our U.K. warehouse 👍,Mon Oct 09 12:37:28 +0000 2017
@lornamorris DM us for a list of all our vegan products ✨,Mon Oct 09 12:11:02 +0000 2017
@OnlyBern DM us your order number and we'll look into it!,Mon Oct 09 11:50:05 +0000 2017
RT @FedoraAbu: Just made my first @glossier order. Guess who's gonna be glowing in 2-5 business days? https://t.co/5JsUk7sItN,Mon Oct 09 11:24:32 +0000 2017
RT @nnicoleAnderson: Me: I'm not buying anything this month;@glossier : now shipping to the UK;Me: If I must...,Mon Oct 09 11:24:02 +0000 2017
RT @r_tay_: Job of the day (aside from the ACTUAL day job) done. 1st of many @glossier purchases complete 💓🇬🇧✔️,Mon Oct 09 11:23:46 +0000 2017
@M_andtheQueen We’re excited to be shipping to France in 2018! Stay tuned for more details.,Mon Oct 09 10:36:46 +0000 2017
@lauraslux @chloecj90 @hayleyjwarnes We'd recommend clearing your cart and starting fresh—that should do the trick 👍,Mon Oct 09 10:36:42 +0000 2017
📦🇬🇧 We've arrived in the UK! 🇬🇧📦 Get in there —&gt; https://t.co/zK1QuRVntf https://t.co/AARjh8yrDD,Mon Oct 09 08:54:17 +0000 2017
@JesscaEdmondson Hi! You can switch the country at the bottom of the page 🇬🇧,Mon Oct 09 07:59:33 +0000 2017
